iter	Passed	Remaining
401	8487	12625
402	8509	12605
403	8526	12578
404	8540	12546
405	8558	12521
406	8577	12497
407	8600	12479
408	8623	12460
409	8645	12441
410	8664	12417
411	8680	12389
412	8698	12363
413	8723	12348
414	8742	12324
415	8759	12296
416	8776	12270
417	8792	12241
418	8807	12212
419	8823	12184
420	8837	12154
421	8853	12126
422	8869	12098
423	8886	12071
424	8900	12042
425	8917	12016
426	8935	11990
427	8953	11965
428	8971	11941
429	8987	11913
430	9003	11885
431	9016	11855
432	9032	11828
433	9048	11801
434	9068	11778
435	9085	11752
436	9101	11725
437	9121	11704
438	9136	11675
439	9156	11654
440	9176	11631
441	9192	11605
442	9209	11579
443	9224	11551
444	9238	11522
445	9254	11495
446	9273	11472
447	9290	11446
448	9304	11417
449	9319	11390
450	9337	11366
451	9357	11344
452	9378	11324
453	9397	11302
454	9417	11279
455	9434	11254
456	9448	11226
457	9463	11199
458	9481	11175
459	9497	11148
460	9510	11119
461	9538	11107
462	9556	11083
463	9572	11057
464	9599	11044
465	9620	11024
466	9639	11001
467	9654	10974
468	9670	10949
469	9689	10926
470	9704	10899
471	9721	10875
472	9738	10849
473	9753	10823
474	9770	10799
475	9786	10773
476	9808	10753
477	9825	10729
478	9841	10704
479	9856	10678
480	9872	10652
481	9890	10628
482	9906	10603
483	9920	10576
484	9943	10558
485	9958	10532
486	9976	10508
487	9999	10491
488	10021	10472
489	10040	10449
490	10055	10424
491	10073	10401
492	10088	10375
493	10104	10350
494	10120	10324
495	10135	10299
496	10149	10272
497	10166	10247
498	10182	10223
499	10197	10197
500	10212	10172
501	10230	10149
502	10249	10126
503	10265	10102
504	10281	10077
505	10296	10052
506	10312	10027
507	10328	10003
508	10343	9977
509	10359	9953
510	10373	9926
511	10388	9901
512	10412	9884
513	10429	9861
514	10450	9841
515	10468	9819
516	10485	9796
517	10499	9769
518	10516	9746
519	10535	9724
520	10557	9706
521	10579	9687
522	10601	9669
523	10619	9647
524	10635	9622
525	10652	9598
526	10675	9581
527	10697	9563
528	10715	9541
529	10733	9518
530	10748	9493
531	10763	9468
532	10781	9446
533	10799	9424
534	10820	9404
535	10835	9380
536	10849	9354
537	10866	9331
538	10886	9311
539	10904	9289
540	10922	9267
541	10940	9244
542	10959	9223
543	10975	9200
544	10990	9175
545	11008	9153
546	11026	9132
547	11043	9108
548	11060	9085
549	11075	9062
550	11102	9047
551	11125	9029
552	11150	9013
553	11171	8993
554	11187	8970
555	11202	8946
556	11220	8924
557	11240	8903
558	11258	8881
559	11273	8858
560	11290	8835
561	11309	8813
562	11329	8793
563	11344	8769
564	11361	8747
565	11378	8724
566	11394	8701
567	11410	8678
568	11425	8654
569	11441	8631
570	11463	8612
571	11478	8589
572	11496	8566
573	11515	8546
574	11532	8524
575	11549	8501
576	11567	8480
577	11584	8457
578	11599	8434
579	11617	8412
580	11636	8391
581	11653	8369
582	11671	8348
583	11689	8326
584	11706	8304
585	11726	8284
586	11746	8264
587	11765	8243
588	11782	8221
589	11800	8200
590	11816	8177
591	11832	8154
592	11849	8132
593	11865	8109
594	11890	8093
595	11907	8071
596	11925	8050
597	11946	8030
598	11962	8008
599	11980	7987
600	11999	7966
601	12020	7947
602	12035	7923
603	12060	7907
604	12078	7885
605	12096	7864
606	12113	7842
607	12127	7819
608	12144	7797
609	12165	7778
610	12182	7756
611	12201	7735
612	12218	7713
613	12233	7690
614	12247	7667
615	12263	7644
616	12278	7621
617	12292	7598
618	12317	7581
619	12332	7558
620	12348	7536
621	12365	7514
622	12387	7496
623	12405	7475
624	12423	7453
625	12438	7431
626	12454	7408
627	12475	7389
628	12493	7369
629	12509	7346
630	12526	7325
631	12541	7302
632	12555	7279
633	12570	7256
634	12586	7234
635	12609	7216
636	12627	7195
637	12641	7172
638	12659	7151
639	12677	7131
640	12693	7109
641	12709	7087
642	12725	7065
643	12740	7042
644	12757	7021
645	12773	6999
646	12791	6979
647	12815	6961
648	12833	6940
649	12847	6918
650	12863	6895
651	12878	6873
652	12894	6851
653	12908	6829
654	12925	6808
655	12946	6788
656	12961	6766
657	12977	6745
658	12996	6725
659	13018	6706
660	13037	6686
661	13060	6668
662	13082	6649
663	13099	6628
664	13115	6606
665	13131	6585
666	13146	6563
667	13163	6542
668	13184	6523
669	13206	6504
670	13240	6492
671	13258	6471
672	13281	6453
673	13297	6431
674	13313	6410
675	13337	6392
676	13363	6375
677	13379	6354
678	13403	6336
679	13428	6319
680	13456	6303
681	13474	6283
682	13492	6262
683	13516	6244
684	13538	6225
685	13555	6204
686	13570	6182
687	13587	6161
688	13603	6140
689	13620	6119
690	13637	6098
691	13653	6076
692	13678	6059
693	13694	6038
694	13713	6018
695	13733	5998
696	13761	5982
697	13779	5961
698	13800	5942
699	13816	5921
700	13838	5902
701	13855	5881
702	13878	5863
703	13902	5845
704	13920	5824
705	13943	5806
706	13960	5785
707	13974	5763
708	13989	5741
709	14006	5720
710	14027	5701
711	14045	5681
712	14062	5660
713	14077	5638
714	14093	5617
715	14116	5599
716	14134	5578
717	14150	5557
718	14176	5540
719	14194	5520
720	14210	5499
721	14227	5478
722	14241	5456
723	14260	5436
724	14276	5415
725	14293	5394
726	14309	5373
727	14334	5355
728	14359	5337
729	14375	5317
730	14392	5296
731	14415	5277
732	14433	5257
733	14456	5239
734	14474	5218
735	14495	5199
736	14509	5177
737	14531	5158
738	14561	5142
739	14581	5123
740	14608	5105
741	14624	5085
742	14642	5064
743	14662	5045
744	14685	5026
745	14701	5005
746	14723	4986
747	14754	4970
748	14793	4957
749	14826	4942
750	14840	4920
751	14857	4899
752	14878	4880
753	14895	4859
754	14911	4838
755	14932	4819
756	14956	4801
757	14982	4783
758	15041	4776
759	15110	4771
760	15145	4756
761	15164	4736
762	15181	4715
763	15198	4694
764	15219	4675
765	15236	4654
766	15254	4633
767	15273	4613
768	15292	4593
769	15314	4574
770	15339	4556
771	15363	4537
772	15379	4516
773	15399	4496
774	15416	4475
775	15444	4458
